Vasse,-33.69,115.3,Australia,AU,Western Australia,,2479,2479
Wickham,-20.675,117.1403,Australia,AU,Western Australia,,2295,2295
Ravenswood,-32.5833,115.833,Australia,AU,Western Australia,,2176,2176
Lower Chittering,-31.556,116.087,Australia,AU,Western Australia,,2127,2127
Mount Barker,-34.63,117.6669,Australia,AU,Western Australia,,1905,1905
Cowaramup,-33.85,115.11,Australia,AU,Western Australia,,1902,1902
Lower King,-34.9578,117.9383,Australia,AU,Western Australia,,1832,1832
Chidlow,-31.857,116.272,Australia,AU,Western Australia,,1828,1828
Wagin,-33.3167,117.35,Australia,AU,Western Australia,,1824,1495
Kambalda West,-31.2114,121.7129,Australia,AU,Western Australia,,1789,1789
Moora,-30.638,116.01,Australia,AU,Western Australia,,1773,1773
Jurien Bay,-30.297,115.042,Australia,AU,Western Australia,,1761,1761
Nullagine,-21.888,120.107,Australia,AU,Western Australia,,1701,1701
Halls Creek,-18.23,127.67,Australia,AU,Western Australia,,1546,1499
Little Grove,-35.07,117.87,Australia,AU,Western Australia,,1503,1503
Drummond Cove,-28.673,114.613,Australia,AU,Western Australia,,1477,1477
Port Denison,-29.2833,114.9167,Australia,AU,Western Australia,,1410,1410
Toodyay,-31.55,116.45,Australia,AU,Western Australia,,1408,1408
Paraburdoo,-23.201,117.671,Australia,AU,Western Australia,,1380,1380
Dongara,-29.251,114.934,Australia,AU,Western Australia,,1380,1380
Wundowie,-31.7667,116.383,Australia,AU,Western Australia,,1352,1352
Kalbarri,-27.71,114.16,Australia,AU,Western Australia,,1349,1349
Quindalup,-33.6671,115.1451,Australia,AU,Western Australia,,1336,1336
Fitzroy Crossing,-18.1944,125.5667,Australia,AU,Western Australia,,1297,1297
Serpentine,-32.365,115.981,Australia,AU,Western Australia,,1265,1265
Mundijong,-32.284,115.973,Australia,AU,Western Australia,,1232,1232
Binningup,-33.149,115.689,Australia,AU,Western Australia,,1227,1227
Boyanup,-33.4861,115.73,Australia,AU,Western Australia,,1217,1217
Boddington,-32.802,116.471,Australia,AU,Western Australia,,1198,1198
Jarrahdale,-32.339,116.062,Australia,AU,Western Australia,,1192,1192
Bindoon,-31.38,116.097,Australia,AU,Western Australia,,1183,1183
Kojonup,-33.84,117.15,Australia,AU,Western Australia,,1165,1165
Beverley,-32.109,116.926,Australia,AU,Western Australia,,1163,1163
Bakers Hill,-31.751,116.455,Australia,AU,Western Australia,,1118,1118
Augusta,-34.312,115.159,Australia,AU,Western Australia,,1109,1109
Dampier,-20.66,116.71,Australia,AU,Western Australia,,1104,1104
Yallingup,-33.6397,115.0263,Australia,AU,Western Australia,,1029,1029
